country,year,disorder,value
Hungary,2007,Binge eating disorder,0.06649604315064862
Hungary,2008,Anorexia,0.07804865636542273
Hungary,2008,Bulimia,0.0824701271351129
Hungary,2008,Binge eating disorder,0.06248216249946438
Hungary,2009,Anorexia,0.07495884796883356
Hungary,2009,Bulimia,0.08071404264677541
Hungary,2009,Binge eating disorder,0.06922491698439101
Hungary,2010,Anorexia,0.0794404962799877
Hungary,2010,Bulimia,0.07927427300571242
Hungary,2010,Binge eating disorder,0.0676740073142999
Iceland,2000,Anorexia,0.17965147433108067
Iceland,2000,Bulimia,0.17111702268201545
Iceland,2000,Binge eating disorder,0.15562415148690378
Iceland,2001,Anorexia,0.18279112769937672
Iceland,2001,Bulimia,0.18004251389291132
Iceland,2001,Binge eating disorder,0.14757086460771193
Iceland,2002,Anorexia,0.17857107804785635
Iceland,2002,Bulimia,0.18217678529894213
Iceland,2002,Binge eating disorder,0.15421146535320165
Iceland,2003,Anorexia,0.17157260462062354
Iceland,2003,Bulimia,0.1851172904301168
Iceland,2003,Binge eating disorder,0.16286032034925976
Iceland,2004,Anorexia,0.18667036657176975
Iceland,2004,Bulimia,0.19073364869118067
Iceland,2004,Binge eating disorder,0.14712026443704965
Iceland,2005,Anorexia,0.17967926774639154
Iceland,2005,Bulimia,0.18725416569067302
Iceland,2005,Binge eating disorder,0.1610308639629354
Iceland,2006,Anorexia,0.19284761975375533
Iceland,2006,Bulimia,0.1819713078526387
Iceland,2006,Binge eating disorder,0.15491399409360596
Iceland,2007,Anorexia,0.18434862628068258
Iceland,2007,Bulimia,0.1843983106907254
Iceland,2007,Binge eating disorder,0.16317234532859198
Iceland,2008,Anorexia,0.19343122525930592
Iceland,2008,Bulimia,0.18719027534410795
Iceland,2008,Binge eating disorder,0.1543709048965862
Iceland,2009,Anorexia,0.1882426795936348
Iceland,2009,Bulimia,0.19953459412095773
Iceland,2009,Binge eating disorder,0.15159282448540756
Iceland,2010,Anorexia,0.19034512497893558
Iceland,2010,Bulimia,0.1814722369472183
Iceland,2010,Binge eating disorder,0.171944418173846
Ireland,2000,Anorexia,0.16943970331096578
Ireland,2000,Bulimia,0.15547010839956624
Ireland,2000,Binge eating disorder,0.130470292989468
Ireland,2001,Anorexia,0.16286359823753827
Ireland,2001,Bulimia,0.16135734193895163
Ireland,2001,Binge eating disorder,0.13994219732351007
Ireland,2002,Anorexia,0.17473803461454235
Ireland,2002,Bulimia,0.17024235270629592
Ireland,2002,Binge eating disorder,0.12970383847916175
Ireland,2003,Anorexia,0.1597029694462575
Ireland,2003,Bulimia,0.17181974069466519
Ireland,2003,Binge eating disorder,0.1535446331590773
Ireland,2004,Anorexia,0.1741887455214364
Ireland,2004,Bulimia,0.1674323109716264
Ireland,2004,Binge eating disorder,0.15216400900693716
Ireland,2005,Anorexia,0.17414625642070108
Ireland,2005,Bulimia,0.17852504106492278
Ireland,2005,Binge eating disorder,0.1474110048143761
Ireland,2006,Anorexia,0.18581436381449476
Ireland,2006,Bulimia,0.16250126858543096
Ireland,2006,Binge eating disorder,0.15694926830007422
Ireland,2007,Anorexia,0.1881977921615668
Ireland,2007,Bulimia,0.17868543740150752
Ireland,2007,Binge eating disorder,0.14291720923692575
Ireland,2008,Anorexia,0.1901368137983518
Ireland,2008,Bulimia,0.17561036661281693
Ireland,2008,Binge eating disorder,0.1479762639888312
Ireland,2009,Anorexia,0.17950837098579608
Ireland,2009,Bulimia,0.1809451750448635
Ireland,2009,Binge eating disorder,0.15725615266934043
Ireland,2010,Anorexia,0.17030028683772602
Ireland,2010,Bulimia,0.1808620818145848
Ireland,2010,Binge eating disorder,0.17119764124768916
Italy,2000,Anorexia,0.20175110243344163
Italy,2000,Bulimia,0.22280393530195905
Italy,2000,Binge eating disorder,0.1990365627645993
Italy,2001,Anorexia,0.23021325866903966
Italy,2001,Bulimia,0.21899847696237953
Italy,2001,Binge eating disorder,0.17784323796858076
Italy,2002,Anorexia,0.22320877548634457
Italy,2002,Bulimia,0.21739023585407874
Italy,2002,Binge eating disorder,0.1902486492595767
Italy,2003,Anorexia,0.2157529590306673
Italy,2003,Bulimia,0.23067644519937827
Italy,2003,Binge eating disorder,0.1876298854699545
Italy,2004,Anorexia,0.2289052996076212
Italy,2004,Bulimia,0.21575505545441953
Italy,2004,Binge eating disorder,0.19174926003795917
Italy,2005,Anorexia,0.22725357482860714
Italy,2005,Bulimia,0.22084665129344402
Italy,2005,Binge eating disorder,0.19003546647794883
Italy,2006,Anorexia,0.23968112813552028
Italy,2006,Bulimia,0.20612283290220668
Italy,2006,Binge eating disorder,0.19003237796227304
Italy,2007,Anorexia,0.21296656821121798
Italy,2007,Bulimia,0.2177032490839941
Italy,2007,Binge eating disorder,0.20056884930478797
Italy,2008,Anorexia,0.23259608693968964
Italy,2008,Bulimia,0.21742111175796333
Italy,2008,Binge eating disorder,0.1755998572023471
Italy,2009,Anorexia,0.2372935007280082
Italy,2009,Bulimia,0.20321162575131912
Italy,2009,Binge eating disorder,0.18056554772067257
Italy,2010,Anorexia,0.2211609758931122
Italy,2010,Bulimia,0.22422190128459196
Italy,2010,Binge eating disorder,0.1747915400222958
Latvia,2000,Anorexia,0.05904123850568811
Latvia,2000,Bulimia,0.06062213533156778
Latvia,2000,Binge eating disorder,0.05583442666274411
Latvia,2001,Anorexia,0.06480836752636876
Latvia,2001,Bulimia,0.059562125406658714
Latvia,2001,Binge eating disorder,0.052633162366972554
Latvia,2002,Anorexia,0.059965195676481606
Latvia,2002,Bulimia,0.06347700302959482
Latvia,2002,Binge eating disorder,0.05734908329392356
Latvia,2003,Anorexia,0.05974633893341402
